video,seconds,subset
f89d6f4fb7ba4f7ab7d61dcc28abbd5c.mp4,172.6,training
a113dc2fa7ae4fa6610bc7125e5941ca.mp4,205.0,training
280935552074c74e154480b954b51cdf.mp4,203.13,validation
86ae5b0a28d378df34c6ba797fc2c55f.mp4,179.27,training
5f9d632cbf2661d361a8a73d9e82ab32.mp4,212.13,training
675169f05219676f03baa8d6f950e272.mp4,220.6,validation
d213ca98457156bb127576a9f9663ac8.mp4,169.67000000000002,training
7cac86fdf22af2e32dcd18ba2e98fb16.mp4,168.6,training
aedff94ed84ee22b6c12541fcbd822fb.mp4,216.6,validation
f9afa3daf0e681bd592fc9a2ac852aec.mp4,219.13,training
b3fc080e3a5c027af7d0f228fb43c19e.mp4,170.13,training
4583a82e0ca0692ae3949840f5faa839.mp4,210.32999999999998,validation
0272d0a07b02469579f0a5a352821109.mp4,198.93,training
a080ac5ad9f7a14bb6c48e989263b1df.mp4,178.13,training
b14a8f5842695d4dd8e7b694eb90f57c.mp4,236.93,validation
9cce3c785c0d1bf20c419285bc371bf8.mp4,203.6,training
9834bbaf9fecf83c9aa38d6094ea4656.mp4,230.6,training
443542df7d57e1ba271a8ad6900c3a32.mp4,182.67,validation
f61e9df6b3eae580f8f3838cadc709a3.mp4,175.13,training
7523a2c9a9ca156bc2451a02f95c96b8.mp4,186.67,training
1728da7b79edcc85217ddcc29a462150.mp4,203.6,validation
a617088ac34eced240344f2c9fbea8d3.mp4,192.73,training
f55f270d9252fc624ef8cb1681f3e7c9.mp4,200.6,training
d28dd42f8dad0849e103f0f035c27dd5.mp4,215.6,validation
4d5c886a9e10c2ad8d56384cbeb98f25.mp4,195.67,training
2c034fdcd925ba011aec0c3c5a2404b0.mp4,175.4,training
75dbd63470d4d7a8ee9f6f225bae71af.mp4,207.13,validation
dba0951fb08197f651ea7b2d1fff06cd.mp4,218.2,training
9b7ca8c0e04b7732918c0352ee4fbbe1.mp4,226.6,training
4f7b6505ea246354f913920562f34c63.mp4,172.6,validation
abe129020e2acbb645093547c6f73124.mp4,197.67000000000002,training
ed79230520d63dd0e6ca8a022c163cd2.mp4,181.53,training
45b6104b828dc4f08791dc6e8e31b982.mp4,133.53,validation
87fed998f7e78ed8bd5369965f02140a.mp4,201.13,training
3ad2476431d46f7913fc0241ffef902f.mp4,213.13,training
84136472e3e24da07a3cad69cfa26ae8.mp4,192.13,validation
093ee3c30af9e4cf5fb90010f71128c7.mp4,219.4,training
4bdb6028f7167a8d8264b5e70f1cb4a6.mp4,166.6,training
230dec93c9c8c1e0b04dfa690dac54b2.mp4,224.13,validation
646bcc460e1ca64e778a1eac506ca32b.mp4,176.6,training
4efe1e4909ab4083fee0be4dd8054ea3.mp4,212.67000000000002,training
a8e6aed0369ad8f0947e7deb9ed9ad09.mp4,163.13,validation
f9037487bd760cc79817a9e38da9d13e.mp4,219.13,training
3f3b5c8ebc1745f6513c5d2abe42cc81.mp4,206.0,training
ca778843c6bb459d25daa3bc6df8b587.mp4,230.6,validation
6c88a9dad44f18000419e3c71d30bc3d.mp4,227.6,training
f9664cf6b421f1565c81b929827a7c7c.mp4,186.87,training
b05611bf5064242550f42e0c25568a46.mp4,186.67,validation
876af09ec0ad4dea47f770285751724d.mp4,186.13,training
d4bc095071ec3e1c30e38118cc2ab34b.mp4,186.13,training
3231bc069c4078a7121f4d03d34cb82e.mp4,166.6,validation
06b486eced92d0a8845b31820007576b.mp4,212.2,training
2176b88d3f158081f4e2d63873dc9bf2.mp4,157.6,training
83f892536ce586f20b7de746c96f64e7.mp4,216.13,validation
98c8f5f31805fb7397e6159aa03b9ba6.mp4,133.27,training
3464691871031d4344614485a4644687.mp4,214.13,training
4f7b61e197a8bd9c6b95fc01ddf0c8b4.mp4,174.6,validation
71494557055a309bc7c5958198e88bee.mp4,186.13,training
350517bdf2421f47b8a8b7610840aded.mp4,206.4,training
785bce7a145cd8c05fc75b552c708f7a.mp4,232.13,validation
3460ca59889d8ce7eafb4fc7107e5fab.mp4,208.07,training
7ca535b47975b4f51f942c323c643a27.mp4,175.4,training
969d01b08e54099ebee78dd753b5c085.mp4,172.13,validation
c60395a83ba78ac6dfc75c8835636c30.mp4,156.07,training
ff7e79081bbaf7a917a6aa824cea7795.mp4,229.47,training
55370839ad0d2b718275b42c0636b02b.mp4,214.6,validation
1c23f6d3fccbd6a9c576240485b6cfe5.mp4,201.8,training
8dd3ff4c9393b48d10af236ffd0855f2.mp4,190.6,training
aa477e41e1df0559bd4ce7d4aad56f88.mp4,174.6,validation
6d7606258d5ffc60b4346e319e280b3e.mp4,212.67000000000002,training
4639d98dbb1bb2dc260c1cf297001a9d.mp4,197.67000000000002,training
9d770b838850151183c7fc5afb2c7588.mp4,203.6,validation
5a4449a8d65b37ea97fce02f817be91a.mp4,216.13,training
e453817fc0ad56bcbd73a564d7765924.mp4,125.73,training
af0ea70c4eb462b1e702e7714ffcda50.mp4,215.6,validation
ef67df712792be2223a378b05cd00862.mp4,163.13,training
4a491884259198ba738399287f9abcc2.mp4,182.8,training
03c791057185e311fb69cd30eed6760f.mp4,184.07,validation
e4c92801c46f8e01df48f0b2c8e86490.mp4,190.13,training
9b17f7d46636c221d0d58b10d57ac9ca.mp4,189.6,training
dff6ffb8e51be8ba3f863c0146c5129a.mp4,220.6,validation
df2f2496baf21fa65be214d10d8a1896.mp4,139.73,training
cda4f2af9ca3f9aad895b2e5ba7ccbc7.mp4,181.13,training
62e2ebc1ee45a516612b64a0d082e824.mp4,220.07,validation
8f487db833b8640412685f717d26bbb9.mp4,179.67000000000002,training
03c890aa98d25781a408bb9b5bf33f3e.mp4,163.13,training
358f11510f604ea48b2aa7d49b967546.mp4,217.6,validation
48ce112dff963e0778e196e32ca84e5c.mp4,203.6,training
081e4439840aa2cea80eba67db003382.mp4,217.53,training
80243dc99766a5bd7028f3e98dcf44be.mp4,191.6,validation
2dd4cd191864013fbec899cb03c12dda.mp4,230.6,training
eddabaef0fef8de9488b3b36fc8e3e09.mp4,203.6,training
